1,QQ,社交,com.tencent.mobileqq,7.9.9,腾讯公司,8874212920,3.433077
2,微信,社交,com.tencent.mm,7.0.3,腾讯公司,7722585087,3.533421
3,QQ空间,社交,com.qzone,8.2.7.288,腾讯公司,1538243047,3.866099
4,MOMO陌陌,社交,com.immomo.momo,8.16.1,北京陌陌信息技术有限公司,574977042,4.012452
5,派派,社交,com.ifreetalk.ftalk,6.5.009,北京畅聊天下科技股份有限公司,92272643,4.906974
6,探探,社交,com.p1.mobile.putong,3.4.3,探探科技（北京）有限公司,107563876,4.570512
7,4399游戏盒,社交,com.m4399.gamecenter,4.8.0.24,四三九九网络股份有限公司,143880210,4.405459
8,百度贴吧,社交,com.baidu.tieba,10.0.8.4,百度在线网络技术（北京）有限公司,161355935,3.461276
9,腾讯微博,社交,com.tencent.WBlog,6.1.2,腾讯,151500689,3.655876
10,有信,社交,com.yx,7.7.9,深圳市有信网络技术有限公司,59946230,4.628957
11,王者营地,社交,com.tencent.gamehelper.smoba,3.42.105,腾讯公司,115808327,3.685110
12,QQ轻聊版,社交,com.tencent.qqlite,3.7.1,腾讯公司,182776634,3.624038
13,美篇,社交,com.lanjingren.ivwen,4.10.1,南京蓝鲸人网络科技有限公司,86145405,4.851503
14,易信,社交,im.yixin,6.9.1,浙江翼信科技有限公司,56891550,3.927250
15,小恩爱,社交,com.xiaoenai.app,6.8.6.14,深圳市梦之舵信息技术有限公司,22368000,4.685477
16,开心斗：桌面小游戏,社交,com.duowan.makefriends,7.7.3,广州华多网络科技有限公司,22147255,4.717919
17,旺信-阿里旺旺手机版,社交,com.alibaba.mobileim,4.5.7,淘宝（中国）软件有限公司,56828829,3.649386
18,玩吧,社交,com.wodi.who,9.0.3,北京默契破冰科技有限公司,29762450,4.959394
19,狼人杀,社交,com.c2vl.kgamebox,2.5.5.1,上海狼望网络科技有限公司,24798437,4.546389
20,KK美女直播,社交,com.melot.meshow,6.3.2,杭州米络科技有限公司,15985082,4.919665
21,新浪微博4G版,社交,com.sina.weibog3,9.2.0,微梦创科网络技术(中国)有限公司,35327266,4.722796
22,腾讯NOW直播-附近美女真人视频聊天,社交,com.tencent.now,1.41.0.68,深圳市腾讯计算机系统有限公司,81647859,3.877312
23,Blued,社交,com.soft.blued,6.7.6,北京蓝城兄弟信息技术有限公司,19896104,4.404121
24,米聊（视频聊天交友）,社交,com.xiaomi.channel,8.6.45,小米科技有限责任公司,63392203,3.328662
25,九秀直播,社交,com.ninexiu.sixninexiu,3.8.7,北京中润互联信息技术有限公司,18675100,4.891163
26,天天狼人杀,社交,com.sdbean.werewolf,3.93,沈阳美嘉信息科技有限公司,9850677,4.954272
27,秀色美女秀场,社交,com.showself.ui,8.2.5,北京思享时光科技有限公司,14485599,4.616122
28,对面,社交,com.blackbean.cnmeach,V6.9.30,深圳市乐唯科技开发有限公司,14911787,4.669155
29,有缘网同城交友找对象,社交,com.youyuan.yyhl,6.1.6,北京友缘在线网络科技股份有限公司,11249452,4.418765
30,附近秒约,社交,com.huizheng.tcyyhz,5.6.1,天津追缘无线科技有限公司,15243435,4.797994
31,人人,社交,com.renren.mobile.android,9.4.4,北京千橡网景科技发展有限公司,27816693,4.111063
32,牵手恋,社交,com.qianshoulian.app,4.8.5,北京媒指点点科技有限公司,25811726,4.888332
33,手游宝-游戏(团本)语音开黑福利社区,社交,com.tencent.gamejoy,6.8.1,腾讯公司,34722867,3.275757
34,约爱,社交,com.yue.ai.yuanfen,3.6.2,北京中通集讯科技有限公司,10420976,4.574829
35,微爱,社交,com.welove520.welove,4.4.2,北京发现角科技有限公司,11784899,4.590544
36,珍爱网,社交,com.zhenai.android,6.7.1,深圳市珍爱网信息技术有限公司,11740378,4.810366
37,捞月狗,社交,com.laoyuegou.android,3.0.0,海南捞月狗网络科技有限公司,12823801,4.626110
38,约会吧,社交,com.youyuan.yhb,5.6.1,北京友缘在线网络科技股份有限公司,4060269,4.814507
39,谁是卧底,社交,com.wepie.wespy,5.6.3,武汉微派网络科技有限公司,8685065,4.635462
40,合拍,社交,com.hepai.hepaiandroid,1.9.5,厦门有门网络科技有限公司,6206637,4.925057
41,酷友社区（公测版）,社交,com.yulong.android.coolyou,6.0.1_VER_2016.10.13_10:46:24,宇龙酷派,73893873,4.219178
42,找对象,社交,cn.shuangshuangfei,6.0.0,北京艾瑞斯科技有限责任公司,6494643,4.774496
43,QQ国际版,社交,com.tencent.mobileqqi,6.0.1,腾讯,15767061,3.192812
44,第一弹-二次元社区,社交,com.diyidan,2.30.2,上海斯干网络科技有限公司,9551659,4.921045
45,TIM-QQ办公简洁版,社交,com.tencent.tim,2.3.1,腾讯公司,21559917,4.054016
46,单身男女征婚交友-百合网,社交,com.baihe,9.2.0,百合网股份有限公司,8376696,4.581043
47,遇见,社交,net.iaround,7.6.6,广州遇见网络科技有限公司,8798439,4.031394
48,QQ HD,社交,com.tencent.minihd.qq,5.8.5,腾讯,28847250,3.451512
49,龙珠直播,社交,com.longzhu.tga,5.7.2,太仓聚一堂网络科技有限公司,25720491,2.959445
50,Hello,社交,com.yy.huanju,4.8.0,广州市百果园网络科技有限公司,7582988,4.720460
51,见面聊天约会,社交,com.keyou.jxyhclient,3.3.0,北京科优数简科技有限公司,4480462,4.869291
52,Soul,社交,cn.soulapp.android,3.1.8,上海任意门科技有限公司,9338432,4.647598
53,妈妈网轻聊,社交,cn.mama.activity,8.8.1,广州盛成妈妈网络科技股份有限公司,11303492,4.766362
54,恋爱神器,社交,com.huizheng.lasq,5.6.1,天津追缘无线科技有限公司,9518665,4.674607
55,同城两性交友,社交,com.youyuan.jqyh,5.6.1,北京缘博网络科技有限公司,6369732,4.820457
56,世纪佳缘,社交,com.jiayuan,7.5,上海花千树信息科技有限公司,6524141,4.554947
57,同城附近约,社交,com.tjmlkj.tcfjy,6.6.0,天津米连科技有限公司,7468914,4.942656
58,同城单身约爱,社交,com.huizheng.tclxjy,5.5.6,河南力维网络科技有限公司,5656436,4.959508
59,附近约爱,社交,com.wangjiang.fjya,5.6.1,北京万江恒通科技有限公司,19406766,4.926076
60,YY交友,社交,com.duowan.yylove,3.3.1,广州华多网络科技有限公司,3411282,4.990049
61,附近约爱,社交,com.wangjiang.fjya,5.6.1,北京万江恒通科技有限公司,19406766,4.926076
62,YY交友,社交,com.duowan.yylove,3.3.1,广州华多网络科技有限公司,3411282,4.990049
63,多玩约战,社交,com.yy.a.liveworld,6.4.4,广州华多网络科技有限公司,5861973,4.445318
64,快恋爱,社交,com.kuailianai.main,2.1.5,优视网乐科技（北京）有限公司,3065978,4.816910
65,钓鱼人,社交,com.lchr.diaoyu,3.0.0,北京联创鸿瑞网络技术有限公司,5226961,4.951248
66,情侣空间,社交,com.welove520.qqsweet,2.1.4,北京发现角科技有限公司,14428738,4.525392
67,恋爱漂流瓶,社交,com.driftbottle.app,2.7.4,太原多来米信息科技有限公司,8109485,4.930095
68,探探交友神器,社交,com.huizheng.nvjy,5.6.0,广州倾松数码科技有限公司,5636814,4.952793
69,求恋爱,社交,com.qiulianai.main,2.3.2,上海翼成信息科技有限公司,4959327,4.772129
70,缘分,社交,com.yuanfen.main,2.4.4,优视网乐科技（北京）有限公司,2416524,4.881266
71,同城么么,社交,com.huizheng.tcmmya,5.6.0,江西小子科技有限公司,2940201,4.721801
72,陌爱交友,社交,com.mlkj.xya,6.4.2.3,天津米连科技有限公司,3275005,4.940254
73,伊对视频找对象,社交,me.yidui,6.6.7.4,北京米连科技有限公司,9165243,4.977086
74,想恋爱,社交,cn.xianglianai,6.6.0,北京艾瑞斯科技有限责任公司,5933855,4.886513
75,微乐,社交,com.ydh.weile,2.9.5.1220,福建互联星空网络科技有限公司,2503428,4.377511
76,115,社交,com.ylmf.androidclient,1.2.0,广东一一五科技股份有限公司,8034463,3.959224
77,LinkedIn领英,社交,com.linkedin.android,6.0.77,北京领英信息技术有限公司,20174762,4.471698
78,缘来婚恋(同城交友),社交,com.yuanlai,2.2.0,深圳市去约会信息技术有限公司,3457841,4.252050
79,来电 - 免费电话，高清显号,社交,com.tencent.lightalk,2.6.0,腾讯公司,17438323,3.676577
80,点点虫,社交,com.alibaba.android.babylon,6.9.4,淘宝（中国）软件有限公司,6582582,4.094961
81,点点虫,社交,com.alibaba.android.babylon,6.9.4,淘宝（中国）软件有限公司,6582582,4.094961
82,同城约见,社交,cn.yszr.meetoftuhao,3.3.1,北京意世智融科技有限公司,4923564,4.809573
83,人脉通-商机人脉,社交,com.bizsocialnet,4.3.1.0,上海脉否投资管理有限公司,4860136,4.909300
84,Google Play 游戏,社交,com.google.android.play.games,5.12.7089 (213806423.213806423-000308),Google Inc.,32977961,3.055233
85,微见-美女视频聊天交友,社交,com.moqu.dongdong,4.2.1,深圳陌趣科技有限公司,10986807,4.942557
86,盘丝洞,社交,com.psd,6.1.2,杭州盘丝洞网络科技有限公司,3353991,4.964407
87,有情趣-两性交友吧,社交,com.luhu.eshop,4.0.0,杭州唐北网络科技有限公司,3908912,4.893627
88,激情恋爱,社交,com.jiqinglianai.main,1.9.3,优视网乐科技（北京）有限公司,2083551,4.894318
89,语玩约会交友聊天室,社交,cn.longmaster.pengpeng,0.44.4,贵阳朗玛信息技术股份有限公司北京分公司,3011421,4.518224
90,小天才,社交,com.xtc.watch,5.7.6,广东小天才科技有限公司,13028797,4.318182
91,QQ情侣,社交,com.tencent.loverzone,1.5.3,腾讯公司,8077972,2.580615
92,单身交友,社交,com.hzsj.dsjy,5.6.1,天津追缘无线科技有限公司,5823503,4.819350
93,掌上飞车-QQ飞车唯一官方应用，大神直播/互动社区/实时聊天/海量福利,社交,com.tencent.gamehelper.speed,2.9.2.36,腾讯公司,10877396,3.416016
94,9158美女直播,社交,com.Tiange.ChatRoom,4.5.2,金华就约我吧网络科技有限公司,5186622,4.857549
95,玩聊,社交,com.clou.sns.android.anywhered,6.0.6,深圳逗溜网科技有限公司,2843981,4.650710
96,懒人相亲,社交,com.youyuan.lrxq,5.6.1,天津追缘无线科技有限公司,4145011,4.874974
97,辣妈帮,社交,com.wangzhi.MaMaHelp,7.6.33,深圳市辣妈帮科技有限公司,8009325,4.429271
98,友眼缘,社交,com.tjmilian.shanpei,6.6.0,广西米连信息科技有限公司,3509931,4.942432
99,附近秒约,社交,com.huizheng.ffjmy,8.4.1,青岛友道品牌设计有限公司市南分公司,3028636,4.952170
100,豆瓣,社交,com.douban.frodo,6.11.1,北京豆网科技有限公司,18851765,2.576426
101,附近秒约,社交,com.huizheng.ffjmy,8.4.1,青岛友道品牌设计有限公司市南分公司,3028636,4.952170
102,豆瓣,社交,com.douban.frodo,6.11.1,北京豆网科技有限公司,18851765,2.576426
103,掌上WeGame,社交,com.tencent.tgp,3.7.20,金亮,10135129,3.413265
104,附近约会,社交,com.huizheng.fjyh,5.6.0,深圳市智联伟业电子科技有限公司,2215667,4.985239
105,蜜趣（语音聊天约会交友）,社交,cn.douyuu.miqu,3.5.8,深圳市逗娱科技有限公司,2906188,4.961839
106,虚拟恋人,社交,cn.dylovemm.csyh,3.6.8,深圳市易优缘科技有限公司,2967027,4.951509
107,聊播,社交,company.chat.coquettish.android,3.5.0,重庆伟亚浪波网络科技有限公司,2785109,4.976833
108,陌陌交友,社交,com.jiangtengsd.jqyya,8.4.2,江腾时代（北京）网络科技有限公司,15137181,4.900990
109,疯狂体育,社交,com.v1.crazy,6.1,北京疯狂体育产业管理有限公司,6773061,4.986607
110,贝聊家长版,社交,com.babychat,4.70.0,广州市贝聊信息科技有限公司,7351790,4.968472
111,蜜恋交友约会聊天,社交,cn.ppmmt.milian,3.9,广州盈凯信息技术有限公司,1665550,4.736067
112,闺蜜圈,社交,com.vanchu.apps.guimiquan,4.9.3,深圳市趣宝科技有限公司,4065292,4.506522
113,处CP,社交,me.ddkj.cp,4.15.0,深圳市橙子互动科技有限公司,3831304,4.634205
114,相亲神器,社交,com.huizheng.xqsq,8.4.0,青岛中餐道文化传媒有限公司,1762460,4.978022
115,一周CP,社交,com.xiaoyu.rightone,3.41.0.820,杭州晓宇科技有限公司,4796249,4.940228
116,恋恋,社交,os.xiehou360.im.mei,6.2.2,广州大为文化股份有限公司,2803714,4.792265
117,爱聊,社交,com.ailiaoicall,7.1.2,深圳市爱聊科技有限公司,3139207,4.370534
118,QQ,社交,com.tencent.mobileqq,7.9.9,腾讯公司,8874212920,3.433077
119,微信,社交,com.tencent.mm,7.0.3,腾讯公司,7722585087,3.533421
120,QQ空间,社交,com.qzone,8.2.7.288,腾讯公司,1538243047,3.866099
