1,QQ同步助手 换机必备通讯录软件照片一键安全备份,通讯,com.tencent.qqpim,6.9.10,腾讯公司,1146567444,4.736053
2,触宝电话,通讯,com.cootek.smartdialer,6.7.2.6,上海触乐信息科技有限公司,140150812,4.573152
3,电信营业厅,通讯,com.ct.client,7.2.0,中国电信股份有限公司电子渠道运营中心,102703962,4.367854
4,微信电话本,通讯,com.tencent.pb,4.5.0,腾讯公司,32393631,4.085141
5,搜狗号码通,通讯,com.sg.sledog,4.4.2.53323,北京搜狗信息服务有限公司,48122699,3.572559
6,比邻,通讯,com.bilin.huijiao.activity,5.10.4,广州比邻在线信息技术有限公司,12773683,4.550810
7,微话,通讯,com.weihua.superphone,5.2.5,深圳市微领科技有限公司,19847230,3.852773
8,和通讯录,通讯,com.chinamobile.contacts.im,5.9.0,中移互联网有限公司,45532182,4.164835
9,来电闪光,通讯,com.holiestar.flashoncall,5.55.170920,HOLIESTAR,3970738,4.215449
10,Youni有你,通讯,com.snda.youni,4.8.6.1,上海由你网络科技有限公司,15733125,4.213390
11,千牛,通讯,com.taobao.qianniu,7.0.71,淘宝（中国）软件有限公司,28138224,2.948540
12,免费wifi电话,通讯,com.feiin.wldh,7.3.5,深圳市小拨网络有限公司,4659394,4.205520
13,花粉俱乐部,通讯,com.huawei.fans,9.0.3.300,华为公司,44486978,4.081081
14,号簿管家,通讯,com.huawei.pisa.activity,3.3.5,中移互联网有限公司,16370224,3.713115
15,移动惠生活,通讯,com.sitech.ac,6.2.0,安徽移动中国移动通信集团安徽有限公司,24278649,2.449173
16,屏客来电秀,通讯,com.huimao.bobo,5.0.6,杭州汇茂科技有限公司,2182216,4.099964
17,通通免费电话,通讯,com.snda.tt,2.6.1.0,杭州边锋网络技术有限公司,3474880,4.087146
18,匹诺曹通话录音,通讯,com.cungu.callrecorder.ui,5.9.8,杭州匹诺曹科技有限公司,2177114,4.594312
19,来电通最新版,通讯,com.blovestorm,5.3.13,广州九游信息技术有限公司,4671249,3.320072
20,友约,通讯,com.lenovo.videotalk.phone,1.0.5.8601150916,联想北京有限公司,3241029,4.895564
21,通通免费电话,通讯,com.snda.tt,2.6.1.0,杭州边锋网络技术有限公司,3474880,4.087146
22,匹诺曹通话录音,通讯,com.cungu.callrecorder.ui,5.9.8,杭州匹诺曹科技有限公司,2177114,4.594312
23,来电通最新版,通讯,com.blovestorm,5.3.13,广州九游信息技术有限公司,4671249,3.320072
24,友约,通讯,com.lenovo.videotalk.phone,1.0.5.8601150916,联想北京有限公司,3241029,4.895564
25,4G电话,通讯,com.fourcall.wldh,5.2.1,深圳市小拨网络有限公司,1336190,4.156614
26,CC来电炫图,通讯,com.cc,3.9.15,重庆掌炫科技有限公司,4250516,3.608236
27,超信,通讯,im.chaoxin,2.9.0,上海聊聊网络科技有限公司,2052525,4.783455
28,巨省钱电话,通讯,com.jsmoney,2.4.0,香港捷讯电信有限公司,23253211,4.752469
29,北瓜电话,通讯,com.lezhi.mythcall,3.0.0.3,南京市乐知信息技术有限公司,1148228,4.787786
30,七彩来显,通讯,com.hongda.ccd,4.8.7.2,浙江省通信产业服务有限公司,2828371,3.957845
31,GO短信,通讯,com.jb.gosms,7.80,广州市久邦数码科技有限公司,3481158,3.327945
32,多趣祝福短信大全,通讯,com.xy.duoqu.smsdaquan,2.30.0,珠海市小源科技有限公司,1167831,4.783626
33,阿众,通讯,com.xunzhong.contacts,1.3.4,北京云讯科技发展有限公司,179036,5.000000
34,sky体验电话,通讯,com.skydh,5.7.8,深圳市小拨网络有限公司,1071948,4.393581
35,多趣短信,通讯,cn.com.xy.duoqu,3.4.0,珠海市小源科技有限公司,1919024,4.415525
36,机友精灵,通讯,com.boly.jyelves,1.2.7,湖南机友科技有限公司,902767,4.937166
37,点心拨号,通讯,com.dianxinos.dxbb,3.4.2,百度云计算技术（北京）有限公司,1058952,3.803419
38,3G省钱电话,通讯,com.sangdh,7.6.6,深圳市小拨网络有限公司,818513,4.690875
39,沃门户,通讯,cn.com.wo,5.0.4,联通宽带在线有限公司,17665782,3.000000
40,葫芦娃,通讯,com.hi.huluwa,V2.21,深圳万家星通信息科技有限公司,1143353,4.500000
41,阿众,通讯,com.xunzhong.contacts,1.3.4,北京云讯科技发展有限公司,179036,5.000000
42,sky体验电话,通讯,com.skydh,5.7.8,深圳市小拨网络有限公司,1071948,4.393581
43,多趣短信,通讯,cn.com.xy.duoqu,3.4.0,珠海市小源科技有限公司,1919024,4.415525
